Secteur,Nom,Adresse,Téléphone,Note Google,Nb avis,Site web,Statut appel,Date 1er contact,Relance 1,Relance 2,RDV fixé,Call booké,Notes
Restauration,Kebab karamanli 2005,"19 Rue Thomassin, 69002 Lyon, France",07 66 31 68 04,4.5,669.0,NON,,,,,,,
Restauration,Meydan Berlin kebab,"8 Pl. Gabriel Péri, 69007 Lyon, France",06 44 93 07 37,4.8,372.0,NON,,,,,,,
Restauration,O'five,"5 Rue Sainte-Catherine, 69001 Lyon, France",07 79 80 35 58,4.6,161.0,NON,,,,,,,
Restauration,Istanbul Kebab,"14 Cr Gambetta, 69007 Lyon, France",07 44 16 21 37,4.0,102.0,NON,,,,,,,
Restauration,STREET FOOD,"33 Chem. des Mûriers, 69310 Oullins-Pierre-Bénite, France",07 44 94 70 84,4.8,108.0,NON,,,,,,,
Restauration,ANAS GRILL LA DUCHERE 🔥,"3 All. Victor Muhlstein, 69009 Lyon, France",06 63 29 79 47,4.7,38.0,NON,,,,,,,
Restauration,ANAS GRILL LYON 8,"95 Rue Villon, 69008 Lyon, France",07 53 59 38 91,4.6,198.0,NON,,,,,,,
Beauté,LEILA Madani,"3 Rue de la Fromagerie, 69001 Lyon, France",06 69 23 69 40,5.0,9.0,NON,,,,,,,
Beauté,Momo Coiffure,"13 Rue Aimé Collomb, 69003 Lyon, France",06 66 37 42 71,4.7,97.0,NON,,,,,,,
Beauté,Gentlemen's Barber Shop,"73 Quai de Pierre-Scize, 69005 Lyon, France",06 64 34 73 13,5.0,1697.0,NON,,,,,,,
Beauté,Hone Space,"Hone Space, 225 Rue Duguesclin, 69003 Lyon, France",06 52 30 33 89,5.0,162.0,NON,,,,,,,
Beauté,L'INSTANT BARBER,"38 Av. Berthelot, 69007 Lyon, France",07 51 50 50 56,5.0,184.0,NON,,,,,,,
Beauté,Charles Vintage Barber,"135 Av. Maréchal de Saxe, 69003 Lyon, France",07 63 11 71 05,4.7,59.0,NON,,,,,,,
Beauté,BARBER ARLOING,"2 Quai Arloing, 69009 Lyon, France",06 28 50 92 73,4.3,40.0,NON,,,,,,,
Beauté,CABE BARBER.,"10 Rue du Plat, 69002 Lyon, France",06 31 09 57 24,5.0,70.0,NON,,,,,,,
Beauté,Barber shop YLANN LE BARBER,"36 Quai du Dr Gailleton, 69002 Lyon, France",06 14 81 08 30,5.0,98.0,NON,,,,,,,
Beauté,THE NOMADE BARBER,"15 Rue des Remparts d'Ainay, 69002 Lyon, France",07 73 07 14 89,5.0,82.0,NON,,,,,,,
